bank_txn_id,utr,bank_date,credit_amount,narration,bank_name,account_number
BNK_TXN_400000,UTR_HDFC_800000,2026-03-02 09:00:00,38901.54,CMS/RAZORPAY/UTR_HDFC_800000/ORD_INV_200000,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400001,UTR_HDFC_800001,2026-03-02 09:45:00,2939.14,CMS/RAZORPAY/UTR_HDFC_800001/ORD_INV_200001,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400002,UTR_HDFC_800002,2026-03-02 10:30:00,2848.24,CMS/RAZORPAY/UTR_HDFC_800002/ORD_INV_200002,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400003,UTR_HDFC_800003,2026-03-02 11:15:00,12553.73,CMS/RAZORPAY/UTR_HDFC_800003/ORD_INV_200003,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400004,UTR_HDFC_800004,2026-03-02 12:00:00,9254.48,CMS/RAZORPAY/UTR_HDFC_800004/ORD_INV_200004,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400005,UTR_HDFC_800005,2026-03-02 12:45:00,10994.38,CMS/RAZORPAY/UTR_HDFC_800005/ORD_INV_200005,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400006,UTR_HDFC_800006,2026-03-02 13:30:00,958.39,CMS/RAZORPAY/UTR_HDFC_800006/ORD_INV_200006,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400007,UTR_HDFC_800007,2026-03-02 14:15:00,28938.27,CMS/RAZORPAY/UTR_HDFC_800007/ORD_INV_200007,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400008,UTR_HDFC_800008,2026-03-02 15:00:00,34819.8,CMS/RAZORPAY/UTR_HDFC_800008/ORD_INV_200008,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400009,UTR_HDFC_800009,2026-03-03 15:45:00,14918.37,CMS/RAZORPAY/UTR_HDFC_800009/ORD_INV_200009,State Bank of India,XXXX-XXXX-8921
BNK_BULK_BATCH_001,UTR_HDFC_BULK_001,2026-03-02 18:45:00,75195.61,"CMS/RAZORPAY/BULK_CREDIT/4_TXNS/TXN_RZP_100010,TXN_RZP_100011,TXN_RZP_100012,TXN_RZP_100013",State Bank of India,XXXX-XXXX-8921
BNK_TXN_400014,UTR_HDFC_800014,2026-03-02 19:30:00,29843.42,CMS/RAZORPAY/UTR_HDFC_800014/ORD_INV_200014,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400015,UTR_HDFC_800015,2026-03-02 20:15:00,5901.19,CMS/RAZORPAY/UTR_HDFC_800015/ORD_INV_200015,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400016,UTR_HDFC_800016,2026-03-02 21:00:00,13429.65,CMS/RAZORPAY/UTR_HDFC_800016/ORD_INV_200016,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400017,UTR_HDFC_800017,2026-03-02 21:45:00,38798.7,CMS/RAZORPAY/UTR_HDFC_800017/ORD_INV_200017,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400018,UTR_HDFC_800018,2026-03-02 22:30:00,33097.92,CMS/RAZORPAY/UTR_HDFC_800018/ORD_INV_200018,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400019,UTR_HDFC_800019,2026-03-02 23:15:00,32600.0,CMS/RAZORPAY/UTR_HDFC_800019/ORD_INV_200019,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400020,UTR_HDFC_800020,2026-03-03 00:00:00,12068.53,CMS/RAZORPAY/UTR_HDFC_800020/ORD_INV_200020,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400021,UTR_HDFC_800021,2026-03-03 00:45:00,42837.97,CMS/RAZORPAY/UTR_HDFC_800021/ORD_INV_200021,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400022,UTR_HDFC_800022,2026-03-05 01:30:00,18295.44,CMS/RAZORPAY/UTR_HDFC_800022/ORD_INV_200022,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400023,UTR_HDFC_800023,2026-03-03 02:15:00,21590.4,CMS/RAZORPAY/UTR_HDFC_800023/ORD_INV_200023,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400024,UTR_HDFC_800024,2026-03-03 03:00:00,26693.84,CMS/RAZORPAY/UTR_HDFC_800024/ORD_INV_200024,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400025,UTR_HDFC_800025,2026-03-03 03:45:00,15119.24,CMS/RAZORPAY/UTR_HDFC_800025/ORD_INV_200025,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400026,UTR_HDFC_800026,2026-03-03 04:30:00,31453.24,CMS/RAZORPAY/UTR_HDFC_800026/ORD_INV_200026,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400027,UTR_HDFC_800027,2026-03-03 05:15:00,620.5,CMS/RAZORPAY/UTR_HDFC_800027/ORD_INV_200027,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400028,UTR_HDFC_800028,2026-03-03 06:00:00,43126.36,CMS/RAZORPAY/UTR_HDFC_800028/ORD_INV_200028,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400029,UTR_HDFC_800029,2026-03-03 06:45:00,32166.94,CMS/RAZORPAY/UTR_HDFC_800029/ORD_INV_200029,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400030,UTR_HDFC_800030,2026-03-03 07:30:00,6313.48,CMS/RAZORPAY/UTR_HDFC_800030/ORD_INV_200030,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400031,UTR_HDFC_800031,2026-03-03 08:15:00,4919.94,CMS/RAZORPAY/UTR_HDFC_800031/ORD_INV_200031,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400032,UTR_HDFC_800030,2026-03-03 09:00:00,39650.38,CMS/RAZORPAY/UTR_HDFC_800032/ORD_INV_200032,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400033,UTR_HDFC_800033,2026-03-03 09:45:00,39910.3,CMS/RAZORPAY/UTR_HDFC_800033/ORD_INV_200033,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400034,UTR_HDFC_800034,2026-03-03 10:30:00,19888.21,CMS/RAZORPAY/UTR_HDFC_800034/ORD_INV_200034,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400035,UTR_HDFC_800035,2026-03-03 11:15:00,43666.93,CMS/RAZORPAY/UTR_HDFC_800035/ORD_INV_200035,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400036,UTR_HDFC_800036,2026-03-03 12:00:00,5417.59,CMS/RAZORPAY/UTR_HDFC_800036/ORD_INV_200036,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400037,UTR_HDFC_800037,2026-03-03 12:45:00,13299.7,CMS/RAZORPAY/UTR_HDFC_800037/ORD_INV_200037,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400038,UTR_HDFC_800038,2026-03-03 13:30:00,28931.25,CMS/RAZORPAY/UTR_HDFC_800038/ORD_INV_200038,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400039,UTR_HDFC_800039,2026-03-03 14:15:00,30731.26,CMS/RAZORPAY/UTR_HDFC_800039/ORD_INV_200039,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400040,UTR_HDFC_800040,2026-03-03 15:00:00,39483.31,CMS/RAZORPAY/UTR_HDFC_800040/ORD_INV_200040,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400041,UTR_HDFC_800041,2026-03-03 15:45:00,18127.93,CMS/RAZORPAY/UTR_HDFC_800041/ORD_INV_200041,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400042,UTR_HDFC_800042,2026-03-03 16:30:00,19481.85,CMS/RAZORPAY/UTR_HDFC_800042/ORD_INV_200042,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400043,UTR_HDFC_800043,2026-03-03 17:15:00,33305.65,CMS/RAZORPAY/UTR_HDFC_800043/ORD_INV_200043,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400044,UTR_HDFC_800044,2026-03-03 18:00:00,10108.08,CMS/RAZORPAY/UTR_HDFC_800044/ORD_INV_200044,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400045,UTR_HDFC_800045,2026-03-03 18:45:00,33303.8,CMS/RAZORPAY/UTR_HDFC_800045/ORD_INV_200045,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400046,UTR_HDFC_800046,2026-03-03 19:30:00,26179.47,CMS/RAZORPAY/UTR_HDFC_800046/ORD_INV_200046,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400047,UTR_HDFC_800047,2026-03-03 20:15:00,27244.58,CMS/RAZORPAY/UTR_HDFC_800047/ORD_INV_200047,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400048,UTR_HDFC_800048,2026-03-03 21:00:00,29622.96,CMS/RAZORPAY/UTR_HDFC_800048/ORD_INV_200048,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400049,UTR_HDFC_800049,2026-03-03 21:45:00,11450.78,CMS/RAZORPAY/UTR_HDFC_800049/ORD_INV_200049/REFUND_PARTIAL_5078.70,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400050,UTR_HDFC_800050,2026-03-03 22:30:00,15773.84,CMS/RAZORPAY/UTR_HDFC_800050/ORD_INV_200050,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400051,UTR_HDFC_800051,2026-03-03 23:15:00,5811.66,CMS/RAZORPAY/UTR_HDFC_800051/ORD_INV_200051,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400052,UTR_HDFC_800052,2026-03-04 00:00:00,18689.82,CMS/RAZORPAY/UTR_HDFC_800052/ORD_INV_200052,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400053,UTR_HDFC_800053,2026-03-04 00:45:00,42667.68,CMS/RAZORPAY/UTR_HDFC_800053/ORD_INV_200053,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400054,UTR_HDFC_800054,2026-03-04 01:30:00,37558.58,CMS/RAZORPAY/UTR_HDFC_800054/ORD_INV_200054,State Bank of India,XXXX-XXXX-8921
