transaction_id,order_id,utr,ground_truth_status,ground_truth_match_id,ground_truth_exception_type,ground_truth_expected_amount,ground_truth_actual_credit,ground_truth_variance,ground_truth_root_cause
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,MATCHED,UTR_HDFC_800000,NONE,38901.54,38901.54,0.0,MATCHED
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,MATCHED,UTR_HDFC_800001,NONE,2939.14,2939.14,0.0,MATCHED
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,MATCHED,UTR_HDFC_800002,NONE,2848.24,2848.24,0.0,MATCHED
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,MATCHED,UTR_HDFC_800003,NONE,12553.73,12553.73,0.0,MATCHED
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,MATCHED,UTR_HDFC_800004,NONE,9254.48,9254.48,0.0,MATCHED
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,MATCHED,UTR_HDFC_800005,NONE,10994.38,10994.38,0.0,MATCHED
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,MATCHED,UTR_HDFC_800006,NONE,958.39,958.39,0.0,MATCHED
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,MATCHED,UTR_HDFC_800007,NONE,28938.27,28938.27,0.0,MATCHED
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,MATCHED,UTR_HDFC_800008,NONE,34819.8,34819.8,0.0,MATCHED
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,MATCHED,UTR_HDFC_800009,NONE,14918.37,14918.37,0.0,T+1 Settlement Window Drift
TXN_RZP_100010,ORD_INV_200010,UTR_HDFC_800010,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,29938.62,29938.62,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100011,ORD_INV_200011,UTR_HDFC_800011,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,32822.14,32822.14,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100012,ORD_INV_200012,UTR_HDFC_800012,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,6799.48,6799.48,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100013,ORD_INV_200013,UTR_HDFC_800013,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,5635.37,5635.37,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100014,ORD_INV_200014,UTR_HDFC_800014,MATCHED,UTR_HDFC_800014,NONE,29843.42,29843.42,0.0,MATCHED
TXN_RZP_100015,ORD_INV_200015,UTR_HDFC_800015,MATCHED,UTR_HDFC_800015,NONE,5901.19,5901.19,0.0,MATCHED
TXN_RZP_100016,ORD_INV_200016,UTR_HDFC_800016,MATCHED,UTR_HDFC_800016,NONE,13429.65,13429.65,0.0,MATCHED
TXN_RZP_100017,ORD_INV_200017,UTR_HDFC_800017,MATCHED,UTR_HDFC_800017,NONE,38798.7,38798.7,0.0,MATCHED
TXN_RZP_100018,ORD_INV_200018,UTR_HDFC_800018,MATCHED,UTR_HDFC_800018,NONE,33097.92,33097.92,0.0,MATCHED
TXN_RZP_100019,ORD_INV_200019,UTR_HDFC_800019,MATCHED,UTR_HDFC_800019,NONE,32600.0,32600.0,0.0,MATCHED
TXN_RZP_100020,ORD_INV_200020,UTR_HDFC_800020,MATCHED,UTR_HDFC_800020,NONE,12068.53,12068.53,0.0,MATCHED
TXN_RZP_100021,ORD_INV_200021,UTR_HDFC_800021,MATCHED,UTR_HDFC_800021,NONE,42837.97,42837.97,0.0,MATCHED
TXN_RZP_100022,ORD_INV_200022,UTR_HDFC_800022,MATCHED,UTR_HDFC_800022,NONE,18295.44,18295.44,0.0,T+2 Banking Cycle Delay
TXN_RZP_100023,ORD_INV_200023,UTR_HDFC_800023,MATCHED,UTR_HDFC_800023,NONE,21590.4,21590.4,0.0,MATCHED
TXN_RZP_100024,ORD_INV_200024,UTR_HDFC_800024,MATCHED,UTR_HDFC_800024,NONE,26693.84,26693.84,0.0,MATCHED
TXN_RZP_100025,ORD_INV_200025,UTR_HDFC_800025,MATCHED,UTR_HDFC_800025,NONE,15119.24,15119.24,0.0,MATCHED
TXN_RZP_100026,ORD_INV_200026,UTR_HDFC_800026,MATCHED,UTR_HDFC_800026,NONE,31453.24,31453.24,0.0,MATCHED
TXN_RZP_100027,ORD_INV_200027,UTR_HDFC_800027,MATCHED,UTR_HDFC_800027,NONE,620.5,620.5,0.0,MATCHED
TXN_RZP_100028,ORD_INV_200028,UTR_HDFC_800028,MATCHED,UTR_HDFC_800028,NONE,43126.36,43126.36,0.0,MATCHED
TXN_RZP_100029,ORD_INV_200029,UTR_HDFC_800029,MATCHED,UTR_HDFC_800029,NONE,32166.94,32166.94,0.0,MATCHED
TXN_RZP_100030,ORD_INV_200030,UTR_HDFC_800030,MATCHED,UTR_HDFC_800030,NONE,6313.48,6313.48,0.0,MATCHED
TXN_RZP_100031,ORD_INV_200031,UTR_HDFC_800031,MATCHED,UTR_HDFC_800031,NONE,4919.94,4919.94,0.0,MATCHED
