transaction_id,order_id,utr,gross_amount,mdr_amount,gst_on_mdr,tds_amount,refund_amount,chargeback_amount,other_deductions,expected_settlement,settlement_date,payment_method,status
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,39841.81,796.84,143.43,0.0,0.0,0.0,0.0,38901.54,2026-03-01 09:00:00,UPI,settled
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,3010.18,60.2,10.84,0.0,0.0,0.0,0.0,2939.14,2026-03-01 09:45:00,NetBanking,settled
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,2917.08,58.34,10.5,0.0,0.0,0.0,0.0,2848.24,2026-03-01 10:30:00,Debit Card,settled
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,12857.16,257.14,46.29,0.0,0.0,0.0,0.0,12553.73,2026-03-01 11:15:00,Debit Card,settled
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,9478.16,189.56,34.12,0.0,0.0,0.0,0.0,9254.48,2026-03-01 12:00:00,Debit Card,settled
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,11260.12,225.2,40.54,0.0,0.0,0.0,0.0,10994.38,2026-03-01 12:45:00,Wallet,settled
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,981.55,19.63,3.53,0.0,0.0,0.0,0.0,958.39,2026-03-01 13:30:00,Credit Card,settled
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,29637.72,592.75,106.7,0.0,0.0,0.0,0.0,28938.27,2026-03-01 14:15:00,Wallet,settled
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,35661.41,713.23,128.38,0.0,0.0,0.0,0.0,34819.8,2026-03-01 15:00:00,Debit Card,settled
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,15278.95,305.58,55.0,0.0,0.0,0.0,0.0,14918.37,2026-03-01 15:45:00,Credit Card,settled
TXN_RZP_100010,ORD_INV_200010,UTR_HDFC_800010,30662.24,613.24,110.38,0.0,0.0,0.0,0.0,29938.62,2026-03-01 16:30:00,Debit Card,settled
TXN_RZP_100011,ORD_INV_200011,UTR_HDFC_800011,33615.47,672.31,121.02,0.0,0.0,0.0,0.0,32822.14,2026-03-01 17:15:00,NetBanking,settled
TXN_RZP_100012,ORD_INV_200012,UTR_HDFC_800012,6963.83,139.28,25.07,0.0,0.0,0.0,0.0,6799.48,2026-03-01 18:00:00,UPI,settled
TXN_RZP_100013,ORD_INV_200013,UTR_HDFC_800013,5771.58,115.43,20.78,0.0,0.0,0.0,0.0,5635.37,2026-03-01 18:45:00,Credit Card,settled
TXN_RZP_100014,ORD_INV_200014,UTR_HDFC_800014,30564.74,611.29,110.03,0.0,0.0,0.0,0.0,29843.42,2026-03-01 19:30:00,NetBanking,settled
TXN_RZP_100015,ORD_INV_200015,UTR_HDFC_800015,6043.83,120.88,21.76,0.0,0.0,0.0,0.0,5901.19,2026-03-01 20:15:00,Wallet,settled
TXN_RZP_100016,ORD_INV_200016,UTR_HDFC_800016,13754.24,275.08,49.51,0.0,0.0,0.0,0.0,13429.65,2026-03-01 21:00:00,Wallet,settled
TXN_RZP_100017,ORD_INV_200017,UTR_HDFC_800017,39736.48,794.73,143.05,0.0,0.0,0.0,0.0,38798.7,2026-03-01 21:45:00,Debit Card,settled
TXN_RZP_100018,ORD_INV_200018,UTR_HDFC_800018,33897.91,677.96,122.03,0.0,0.0,0.0,0.0,33097.92,2026-03-01 22:30:00,NetBanking,settled
TXN_RZP_100019,ORD_INV_200019,UTR_HDFC_800019,33387.96,667.76,120.2,0.0,0.0,0.0,0.0,32600.0,2026-03-01 23:15:00,UPI,settled
TXN_RZP_100020,ORD_INV_200020,UTR_HDFC_800020,12360.23,247.2,44.5,0.0,0.0,0.0,0.0,12068.53,2026-03-02 00:00:00,NetBanking,settled
TXN_RZP_100021,ORD_INV_200021,UTR_HDFC_800021,43873.38,877.47,157.94,0.0,0.0,0.0,0.0,42837.97,2026-03-02 00:45:00,UPI,settled
TXN_RZP_100022,ORD_INV_200022,UTR_HDFC_800022,18737.65,374.75,67.46,0.0,0.0,0.0,0.0,18295.44,2026-03-02 01:30:00,UPI,settled
TXN_RZP_100023,ORD_INV_200023,UTR_HDFC_800023,22112.24,442.24,79.6,0.0,0.0,0.0,0.0,21590.4,2026-03-02 02:15:00,Debit Card,settled
TXN_RZP_100024,ORD_INV_200024,UTR_HDFC_800024,27339.04,546.78,98.42,0.0,0.0,0.0,0.0,26693.84,2026-03-02 03:00:00,UPI,settled
TXN_RZP_100025,ORD_INV_200025,UTR_HDFC_800025,15484.67,309.69,55.74,0.0,0.0,0.0,0.0,15119.24,2026-03-02 03:45:00,UPI,settled
TXN_RZP_100026,ORD_INV_200026,UTR_HDFC_800026,32213.48,644.27,115.97,0.0,0.0,0.0,0.0,31453.24,2026-03-02 04:30:00,Credit Card,settled
TXN_RZP_100027,ORD_INV_200027,UTR_HDFC_800027,635.5,12.71,2.29,0.0,0.0,0.0,0.0,620.5,2026-03-02 05:15:00,UPI,settled
TXN_RZP_100028,ORD_INV_200028,UTR_HDFC_800028,44168.75,883.38,159.01,0.0,0.0,0.0,0.0,43126.36,2026-03-02 06:00:00,Credit Card,settled
TXN_RZP_100029,ORD_INV_200029,UTR_HDFC_800029,32944.43,658.89,118.6,0.0,0.0,0.0,0.0,32166.94,2026-03-02 06:45:00,Credit Card,settled
TXN_RZP_100030,ORD_INV_200030,UTR_HDFC_800030,6466.08,129.32,23.28,0.0,0.0,0.0,0.0,6313.48,2026-03-02 07:30:00,Credit Card,settled
TXN_RZP_100031,ORD_INV_200031,UTR_HDFC_800031,5038.86,100.78,18.14,0.0,0.0,0.0,0.0,4919.94,2026-03-02 08:15:00,Wallet,settled
TXN_RZP_100032,ORD_INV_200032,UTR_HDFC_800030,40608.75,812.18,146.19,0.0,0.0,0.0,0.0,39650.38,2026-03-02 09:00:00,UPI,settled
TXN_RZP_100033,ORD_INV_200033,UTR_HDFC_800033,40874.95,817.5,147.15,0.0,0.0,0.0,0.0,39910.3,2026-03-02 09:45:00,Credit Card,settled
TXN_RZP_100034,ORD_INV_200034,UTR_HDFC_800034,20368.92,407.38,73.33,0.0,0.0,0.0,0.0,19888.21,2026-03-02 10:30:00,UPI,settled
TXN_RZP_100035,ORD_INV_200034,UTR_HDFC_800035,44722.38,894.45,161.0,0.0,0.0,0.0,0.0,43666.93,2026-03-02 11:15:00,Wallet,settled
TXN_RZP_100036,ORD_INV_200036,UTR_HDFC_800036,5548.53,110.97,19.97,0.0,0.0,0.0,0.0,5417.59,2026-03-02 12:00:00,Credit Card,settled
TXN_RZP_100037,ORD_INV_200037,UTR_HDFC_800037,13621.16,272.42,49.04,0.0,0.0,0.0,0.0,13299.7,2026-03-02 12:45:00,UPI,settled
TXN_RZP_100038,ORD_INV_200038,UTR_HDFC_800038,29630.53,592.61,106.67,0.0,0.0,0.0,0.0,28931.25,2026-03-02 13:30:00,Credit Card,settled
TXN_RZP_100039,ORD_INV_200039,UTR_HDFC_800039,31474.05,629.48,113.31,0.0,0.0,0.0,0.0,30731.26,2026-03-02 14:15:00,Credit Card,settled
TXN_RZP_100040,ORD_INV_200040,UTR_HDFC_800040,40437.64,808.75,145.58,0.0,0.0,0.0,0.0,39483.31,2026-03-02 15:00:00,Debit Card,settled
