bank_txn_id,utr,bank_date,credit_amount,narration,bank_name,account_number
BNK_TXN_400000,UTR_HDFC_800000,2026-03-02 09:00:00,36500.68,CMS/RAZORPAY/UTR_HDFC_800000/ORD_INV_200000,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400001,UTR_HDFC_800001,2026-03-02 09:45:00,31058.44,CMS/RAZORPAY/UTR_HDFC_800001/ORD_INV_200001,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400002,UTR_HDFC_800002,2026-03-02 10:30:00,43293.72,CMS/RAZORPAY/UTR_HDFC_800002/ORD_INV_200002,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400003,UTR_HDFC_800003,2026-03-02 11:15:00,12460.35,CMS/RAZORPAY/UTR_HDFC_800003/ORD_INV_200003,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400004,UTR_HDFC_800004,2026-03-02 12:00:00,15830.21,CMS/RAZORPAY/UTR_HDFC_800004/ORD_INV_200004,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400005,UTR_HDFC_800005,2026-03-02 12:45:00,23628.24,CMS/RAZORPAY/UTR_HDFC_800005/ORD_INV_200005,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400006,UTR_HDFC_800006,2026-03-02 13:30:00,16884.59,CMS/RAZORPAY/UTR_HDFC_800006/ORD_INV_200006,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400007,UTR_HDFC_800007,2026-03-02 14:15:00,37086.93,CMS/RAZORPAY/UTR_HDFC_800007/ORD_INV_200007,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400008,UTR_HDFC_800008,2026-03-02 15:00:00,35438.73,CMS/RAZORPAY/UTR_HDFC_800008/ORD_INV_200008,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400009,UTR_HDFC_800009,2026-03-02 15:45:00,9539.8,CMS/RAZORPAY/UTR_HDFC_800009/ORD_INV_200009,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_BULK_BATCH_001,UTR_HDFC_BULK_001,2026-03-02 18:45:00,89838.12,"CMS/RAZORPAY/BULK_CREDIT/4_TXNS/TXN_RZP_100010,TXN_RZP_100011,TXN_RZP_100012,TXN_RZP_100013",Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400014,UTR_HDFC_800014,2026-03-02 19:30:00,4305.06,CMS/RAZORPAY/UTR_HDFC_800014/ORD_INV_200014,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400015,UTR_HDFC_800015,2026-03-03 20:15:00,27696.04,CMS/RAZORPAY/UTR_HDFC_800015/ORD_INV_200015,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400016,UTR_HDFC_800016,2026-03-04 21:00:00,17116.15,CMS/RAZORPAY/UTR_HDFC_800016/ORD_INV_200016,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400017,UTR_HDFC_800017,2026-03-02 21:45:00,42677.13,CMS/RAZORPAY/UTR_HDFC_800017/ORD_INV_200017,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400018,UTR_HDFC_800018,2026-03-02 22:30:00,33849.77,CMS/RAZORPAY/UTR_HDFC_800018/ORD_INV_200018,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400019,UTR_HDFC_800019,2026-03-02 23:15:00,19295.87,CMS/RAZORPAY/UTR_HDFC_800019/ORD_INV_200019,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400020,UTR_HDFC_800020,2026-03-03 00:00:00,42712.42,CMS/RAZORPAY/UTR_HDFC_800020/ORD_INV_200020,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400021,UTR_HDFC_800021,2026-03-03 00:45:00,38293.09,CMS/RAZORPAY/UTR_HDFC_800021/ORD_INV_200021,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400022,UTR_HDFC_800020,2026-03-03 01:30:00,7004.95,CMS/RAZORPAY/UTR_HDFC_800022/ORD_INV_200022,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400023,UTR_HDFC_800023,2026-03-03 02:15:00,26453.49,CMS/RAZORPAY/UTR_HDFC_800023/ORD_INV_200023,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400024,UTR_HDFC_800024,2026-03-03 03:00:00,40846.96,CMS/RAZORPAY/UTR_HDFC_800024/ORD_INV_200024,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400025,UTR_HDFC_800025,2026-03-03 03:45:00,10842.84,CMS/RAZORPAY/UTR_HDFC_800025/ORD_INV_200025,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400026,UTR_HDFC_800026,2026-03-03 04:30:00,32250.17,CMS/RAZORPAY/UTR_HDFC_800026/ORD_INV_200026,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400027,UTR_HDFC_800027,2026-03-03 05:15:00,5939.13,CMS/RAZORPAY/UTR_HDFC_800027/ORD_INV_200027,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400028,UTR_HDFC_800028,2026-03-03 06:00:00,11897.21,CMS/RAZORPAY/UTR_HDFC_800028/ORD_INV_200028,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400029,UTR_HDFC_800029,2026-03-03 06:45:00,40838.9,CMS/RAZORPAY/UTR_HDFC_800029/ORD_INV_200029,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400030,UTR_HDFC_800030,2026-03-03 07:30:00,43726.53,CMS/RAZORPAY/UTR_HDFC_800030/ORD_INV_200030,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400031,UTR_HDFC_800031,2026-03-03 08:15:00,5617.07,CMS/RAZORPAY/UTR_HDFC_800031/ORD_INV_200031,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400032,UTR_HDFC_800032,2026-03-03 09:00:00,1258.76,CMS/RAZORPAY/UTR_HDFC_800032/ORD_INV_200032,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400033,UTR_HDFC_800033,2026-03-03 09:45:00,655.23,CMS/RAZORPAY/UTR_HDFC_800033/ORD_INV_200033,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400034,UTR_HDFC_800034,2026-03-03 10:30:00,39814.66,CMS/RAZORPAY/UTR_HDFC_800034/ORD_INV_200034,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400035,UTR_HDFC_800035,2026-03-03 11:15:00,12482.31,CMS/RAZORPAY/UTR_HDFC_800035/ORD_INV_200035,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400036,UTR_HDFC_800036,2026-03-03 12:00:00,31877.21,CMS/RAZORPAY/UTR_HDFC_800036/ORD_INV_200036,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400037,UTR_HDFC_800037,2026-03-03 12:45:00,10935.51,CMS/RAZORPAY/UTR_HDFC_800037/ORD_INV_200037,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400038,UTR_HDFC_800038,2026-03-03 13:30:00,4454.0,CMS/RAZORPAY/UTR_HDFC_800038/ORD_INV_200038,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400039,UTR_HDFC_800039,2026-03-03 14:15:00,18264.27,CMS/RAZORPAY/UTR_HDFC_800039/ORD_INV_200039,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400040,UTR_HDFC_800040,2026-03-03 15:00:00,17894.52,CMS/RAZORPAY/UTR_HDFC_800040/ORD_INV_200040,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400041,UTR_HDFC_800041,2026-03-03 15:45:00,8694.35,CMS/RAZORPAY/UTR_HDFC_800041/ORD_INV_200041,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400042,UTR_HDFC_800042,2026-03-03 16:30:00,18734.21,CMS/RAZORPAY/UTR_HDFC_800042/ORD_INV_200042,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400043,UTR_HDFC_800043,2026-03-03 17:15:00,38466.05,CMS/RAZORPAY/UTR_HDFC_800043/ORD_INV_200043,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400044,UTR_HDFC_800044,2026-03-03 18:00:00,2547.2,CMS/RAZORPAY/UTR_HDFC_800044/ORD_INV_200044,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400045,UTR_HDFC_800045,2026-03-03 18:45:00,40727.87,CMS/RAZORPAY/UTR_HDFC_800045/ORD_INV_200045,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400046,UTR_HDFC_800046,2026-03-03 19:30:00,21513.88,CMS/RAZORPAY/UTR_HDFC_800046/ORD_INV_200046,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400047,UTR_HDFC_800047,2026-03-03 20:15:00,5208.99,CMS/RAZORPAY/UTR_HDFC_800047/ORD_INV_200047/REFUND_PARTIAL_2310.32,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400048,UTR_HDFC_800048,2026-03-03 21:00:00,40734.46,CMS/RAZORPAY/UTR_HDFC_800048/ORD_INV_200048,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400050,UTR_HDFC_800050,2026-03-03 22:30:00,8620.58,CMS/RAZORPAY/UTR_HDFC_800050/ORD_INV_200050,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400051,UTR_HDFC_800051,2026-03-03 23:15:00,32950.68,CMS/RAZORPAY/UTR_HDFC_800051/ORD_INV_200051,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400052,UTR_HDFC_800052,2026-03-04 00:00:00,21864.13,CMS/RAZORPAY/UTR_HDFC_800052/ORD_INV_200052/CB_RESERVE_HOLD,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400053,UTR_HDFC_800053,2026-03-04 00:45:00,42228.1,CMS/RAZORPAY/UTR_HDFC_800053/ORD_INV_200053,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400054,UTR_HDFC_800054,2026-03-04 01:30:00,26283.04,CMS/RAZORPAY/UTR_HDFC_800054/ORD_INV_200054,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400055,UTR_HDFC_800055,2026-03-04 02:15:00,41391.81,CMS/RAZORPAY/UTR_HDFC_800055/ORD_INV_200055,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400056,UTR_HDFC_800056,2026-03-04 03:00:00,27344.45,CMS/RAZORPAY/UTR_HDFC_800056/ORD_INV_200056,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400058,UTR_HDFC_800058,2026-03-04 04:30:00,11921.55,CMS/RAZORPAY/UTR_HDFC_800058/ORD_INV_200058,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400059,UTR_HDFC_800059,2026-03-04 05:15:00,14125.88,CMS/RAZORPAY/UTR_HDFC_800059/ORD_INV_200059,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400060,UTR_HDFC_800060,2026-03-04 06:00:00,27421.95,CMS/RAZORPAY/UTR_HDFC_800060/ORD_INV_200060,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400061,UTR_HDFC_800061,2026-03-04 06:45:00,23780.59,CMS/RAZORPAY/UTR_HDFC_800061/ORD_INV_200061,HDFC Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400062,UTR_HDFC_800062,2026-03-04 07:30:00,41028.36,CMS/RAZORPAY/UTR_HDFC_800062/ORD_INV_200062,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400063,UTR_HDFC_800063,2026-03-04 08:15:00,12534.71,CMS/RAZORPAY/UTR_HDFC_800063/ORD_INV_200063/CORP_INTL_CARD_3.5PCT,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400064,UTR_HDFC_800064,2026-03-04 09:00:00,27008.6,CMS/RAZORPAY/UTR_HDFC_800064/ORD_INV_200064,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400065,UTR_HDFC_800065,2026-03-04 09:45:00,40962.82,CMS/RAZORPAY/UTR_HDFC_800065/ORD_INV_200065,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400066,UTR_HDFC_800066,2026-03-04 10:30:00,5374.0,CMS/RAZORPAY/UTR_HDFC_800066/ORD_INV_200066,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400067,UTR_HDFC_800067,2026-03-04 11:15:00,12215.1,CMS/RAZORPAY/UTR_HDFC_800067/ORD_INV_200067,ICICI Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400068,UTR_HDFC_800068,2026-03-04 12:00:00,9217.82,CMS/RAZORPAY/UTR_HDFC_800068/ORD_INV_200068,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400069,UTR_HDFC_800069,2026-03-04 12:45:00,11289.68,CMS/RAZORPAY/UTR_HDFC_800069/ORD_INV_200069,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400070,UTR_HDFC_800070,2026-03-04 13:30:00,36498.21,CMS/RAZORPAY/UTR_HDFC_800070/ORD_INV_200070,Axis Bank Ltd,XXXX-XXXX-8921
BNK_TXN_400071,UTR_HDFC_800071,2026-03-04 14:15:00,33947.15,CMS/RAZORPAY/UTR_HDFC_800071/ORD_INV_200071,State Bank of India,XXXX-XXXX-8921
BNK_TXN_400072,UTR_HDFC_800072,2026-03-04 15:00:00,24392.94,CMS/RAZORPAY/UTR_HDFC_800072/ORD_INV_200072,Axis Bank Ltd,XXXX-XXXX-8921
