transaction_id,order_id,utr,ground_truth_status,ground_truth_match_id,ground_truth_exception_type,ground_truth_expected_amount,ground_truth_actual_credit,ground_truth_variance,ground_truth_root_cause
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,MATCHED,UTR_HDFC_800000,NONE,36500.68,36500.68,0.0,MATCHED
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,MATCHED,UTR_HDFC_800001,NONE,31058.44,31058.44,0.0,MATCHED
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,MATCHED,UTR_HDFC_800002,NONE,43293.72,43293.72,0.0,MATCHED
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,MATCHED,UTR_HDFC_800003,NONE,12460.35,12460.35,0.0,MATCHED
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,MATCHED,UTR_HDFC_800004,NONE,15830.21,15830.21,0.0,MATCHED
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,MATCHED,UTR_HDFC_800005,NONE,23628.24,23628.24,0.0,MATCHED
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,MATCHED,UTR_HDFC_800006,NONE,16884.59,16884.59,0.0,MATCHED
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,MATCHED,UTR_HDFC_800007,NONE,37086.93,37086.93,0.0,MATCHED
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,MATCHED,UTR_HDFC_800008,NONE,35438.73,35438.73,0.0,MATCHED
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,MATCHED,UTR_HDFC_800009,NONE,9539.8,9539.8,0.0,MATCHED
TXN_RZP_100010,ORD_INV_200010,UTR_HDFC_800010,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,28916.41,28916.41,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100011,ORD_INV_200011,UTR_HDFC_800011,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,11889.52,11889.52,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100012,ORD_INV_200012,UTR_HDFC_800012,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,32908.76,32908.76,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100013,ORD_INV_200013,UTR_HDFC_800013,EXCEPTION,UNRESOLVED,SETTLEMENT_AGGREGATION,16123.43,16123.43,0.0,Settlement Aggregation (Bulk NEFT Payout)
TXN_RZP_100014,ORD_INV_200014,UTR_HDFC_800014,MATCHED,UTR_HDFC_800014,NONE,4305.06,4305.06,0.0,MATCHED
TXN_RZP_100015,ORD_INV_200015,UTR_HDFC_800015,MATCHED,UTR_HDFC_800015,NONE,27696.04,27696.04,0.0,T+1 Settlement Window Drift
TXN_RZP_100016,ORD_INV_200016,UTR_HDFC_800016,MATCHED,UTR_HDFC_800016,NONE,17116.15,17116.15,0.0,T+2 Banking Cycle Delay
TXN_RZP_100017,ORD_INV_200017,UTR_HDFC_800017,MATCHED,UTR_HDFC_800017,NONE,42677.13,42677.13,0.0,MATCHED
TXN_RZP_100018,ORD_INV_200018,UTR_HDFC_800018,MATCHED,UTR_HDFC_800018,NONE,33849.77,33849.77,0.0,MATCHED
TXN_RZP_100019,ORD_INV_200019,UTR_HDFC_800019,MATCHED,UTR_HDFC_800019,NONE,19295.87,19295.87,0.0,MATCHED
TXN_RZP_100020,ORD_INV_200020,UTR_HDFC_800020,MATCHED,UTR_HDFC_800020,NONE,42712.42,42712.42,0.0,MATCHED
TXN_RZP_100021,ORD_INV_200021,UTR_HDFC_800021,MATCHED,UTR_HDFC_800021,NONE,38293.09,38293.09,0.0,MATCHED
TXN_RZP_100022,ORD_INV_200022,UTR_HDFC_800020,EXCEPTION,UNRESOLVED,DUPLICATE_UTR,7004.95,7004.95,0.0,Duplicate UTR Reference Detected
TXN_RZP_100023,ORD_INV_200023,UTR_HDFC_800023,MATCHED,UTR_HDFC_800023,NONE,26453.49,26453.49,0.0,MATCHED
TXN_RZP_100024,ORD_INV_200024,UTR_HDFC_800024,MATCHED,UTR_HDFC_800024,NONE,40846.96,40846.96,0.0,MATCHED
TXN_RZP_100025,ORD_INV_200025,UTR_HDFC_800025,MATCHED,UTR_HDFC_800025,NONE,10842.84,10842.84,0.0,MATCHED
TXN_RZP_100026,ORD_INV_200026,UTR_HDFC_800026,MATCHED,UTR_HDFC_800026,NONE,32250.17,32250.17,0.0,MATCHED
TXN_RZP_100027,ORD_INV_200027,UTR_HDFC_800027,MATCHED,UTR_HDFC_800027,NONE,5939.13,5939.13,0.0,MATCHED
TXN_RZP_100028,ORD_INV_200028,UTR_HDFC_800028,MATCHED,UTR_HDFC_800028,NONE,11897.21,11897.21,0.0,MATCHED
TXN_RZP_100029,ORD_INV_200029,UTR_HDFC_800029,MATCHED,UTR_HDFC_800029,NONE,40838.9,40838.9,0.0,MATCHED
TXN_RZP_100030,ORD_INV_200030,UTR_HDFC_800030,MATCHED,UTR_HDFC_800030,NONE,43726.53,43726.53,0.0,MATCHED
TXN_RZP_100031,ORD_INV_200031,UTR_HDFC_800031,MATCHED,UTR_HDFC_800031,NONE,5617.07,5617.07,0.0,MATCHED
TXN_RZP_100032,ORD_INV_200032,UTR_HDFC_800032,MATCHED,UTR_HDFC_800032,NONE,1258.76,1258.76,0.0,MATCHED
TXN_RZP_100033,ORD_INV_200033,UTR_HDFC_800033,MATCHED,UTR_HDFC_800033,NONE,655.23,655.23,0.0,MATCHED
TXN_RZP_100034,ORD_INV_200034,UTR_HDFC_800034,MATCHED,UTR_HDFC_800034,NONE,39814.66,39814.66,0.0,MATCHED
TXN_RZP_100035,ORD_INV_200035,UTR_HDFC_800035,MATCHED,UTR_HDFC_800035,NONE,12482.31,12482.31,0.0,MATCHED
TXN_RZP_100036,ORD_INV_200036,UTR_HDFC_800036,MATCHED,UTR_HDFC_800036,NONE,31877.21,31877.21,0.0,MATCHED
TXN_RZP_100037,ORD_INV_200037,UTR_HDFC_800037,MATCHED,UTR_HDFC_800037,NONE,10935.51,10935.51,0.0,MATCHED
TXN_RZP_100038,ORD_INV_200038,UTR_HDFC_800038,MATCHED,UTR_HDFC_800038,NONE,4454.0,4454.0,0.0,MATCHED
TXN_RZP_100039,ORD_INV_200039,UTR_HDFC_800039,MATCHED,UTR_HDFC_800039,NONE,18264.27,18264.27,0.0,MATCHED
TXN_RZP_100040,ORD_INV_200040,UTR_HDFC_800040,MATCHED,UTR_HDFC_800040,NONE,17894.52,17894.52,0.0,MATCHED
TXN_RZP_100041,ORD_INV_200041,UTR_HDFC_800041,MATCHED,UTR_HDFC_800041,NONE,8694.35,8694.35,0.0,MATCHED
TXN_RZP_100042,ORD_INV_200042,UTR_HDFC_800042,MATCHED,UTR_HDFC_800042,NONE,18734.21,18734.21,0.0,MATCHED
TXN_RZP_100043,ORD_INV_200043,UTR_HDFC_800043,MATCHED,UTR_HDFC_800043,NONE,38466.05,38466.05,0.0,MATCHED
TXN_RZP_100044,ORD_INV_200043,UTR_HDFC_800044,EXCEPTION,UNRESOLVED,DUPLICATE_TRANSACTION,2547.2,2547.2,0.0,Duplicate Transaction Capture
TXN_RZP_100045,ORD_INV_200045,UTR_HDFC_800045,MATCHED,UTR_HDFC_800045,NONE,40727.87,40727.87,0.0,MATCHED
TXN_RZP_100046,ORD_INV_200046,UTR_HDFC_800046,MATCHED,UTR_HDFC_800046,NONE,21513.88,21513.88,0.0,MATCHED
TXN_RZP_100047,ORD_INV_200047,UTR_HDFC_800047,EXCEPTION,UNRESOLVED,PARTIAL_REFUND,7519.31,5208.99,2310.32,Partial Customer Refund Deducted
TXN_RZP_100048,ORD_INV_200048,UTR_HDFC_800048,MATCHED,UTR_HDFC_800048,NONE,40734.46,40734.46,0.0,MATCHED
TXN_RZP_100049,ORD_INV_200049,UTR_HDFC_800049,EXCEPTION,UNRESOLVED,FULL_REFUND,30710.52,0.0,30710.52,Full Order Cancellation & Refund
TXN_RZP_100050,ORD_INV_200050,UTR_HDFC_800050,MATCHED,UTR_HDFC_800050,NONE,8620.58,8620.58,0.0,MATCHED
TXN_RZP_100051,ORD_INV_200051,UTR_HDFC_800051,MATCHED,UTR_HDFC_800051,NONE,32950.68,32950.68,0.0,MATCHED
TXN_RZP_100052,ORD_INV_200052,UTR_HDFC_800052,EXCEPTION,UNRESOLVED,CHARGEBACK_RESERVE,22264.13,21864.13,400.0,Unmapped Chargeback Reserve Holdback
TXN_RZP_100053,ORD_INV_200053,UTR_HDFC_800053,MATCHED,UTR_HDFC_800053,NONE,42228.1,42228.1,0.0,MATCHED
TXN_RZP_100054,ORD_INV_200054,UTR_HDFC_800054,MATCHED,UTR_HDFC_800054,NONE,26283.04,26283.04,0.0,MATCHED
TXN_RZP_100055,ORD_INV_200055,UTR_HDFC_800055,MATCHED,UTR_HDFC_800055,NONE,41391.81,41391.81,0.0,MATCHED
TXN_RZP_100056,ORD_INV_200056,UTR_HDFC_800056,MATCHED,UTR_HDFC_800056,NONE,27344.45,27344.45,0.0,MATCHED
TXN_RZP_100057,ORD_INV_200057,UNKNOWN,EXCEPTION,UNRESOLVED,MISSING_SETTLEMENT,41091.44,0.0,41091.44,Gateway Settlement Omitted from Bank Statement
TXN_RZP_100058,ORD_INV_200058,UTR_HDFC_800058,MATCHED,UTR_HDFC_800058,NONE,11921.55,11921.55,0.0,MATCHED
TXN_RZP_100059,ORD_INV_200059,UTR_HDFC_800059,MATCHED,UTR_HDFC_800059,NONE,14125.88,14125.88,0.0,MATCHED
TXN_RZP_100060,ORD_INV_200060,UTR_HDFC_800060,MATCHED,UTR_HDFC_800060,NONE,27421.95,27421.95,0.0,MATCHED
TXN_RZP_100061,ORD_INV_200061,UTR_HDFC_800061,MATCHED,UTR_HDFC_800061,NONE,23780.59,23780.59,0.0,MATCHED
