transaction_id,order_id,utr,gross_amount,mdr_amount,gst_on_mdr,tds_amount,refund_amount,chargeback_amount,other_deductions,expected_settlement,settlement_date,payment_method,status
TXN_RZP_100000,ORD_INV_200000,UTR_HDFC_800000,37382.92,747.66,134.58,0.0,0.0,0.0,0.0,36500.68,2026-03-01 09:00:00,UPI,settled
TXN_RZP_100001,ORD_INV_200001,UTR_HDFC_800001,31809.13,636.18,114.51,0.0,0.0,0.0,0.0,31058.44,2026-03-01 09:45:00,Debit Card,settled
TXN_RZP_100002,ORD_INV_200002,UTR_HDFC_800002,44340.14,886.8,159.62,0.0,0.0,0.0,0.0,43293.72,2026-03-01 10:30:00,Credit Card,settled
TXN_RZP_100003,ORD_INV_200003,UTR_HDFC_800003,12761.52,255.23,45.94,0.0,0.0,0.0,0.0,12460.35,2026-03-01 11:15:00,UPI,settled
TXN_RZP_100004,ORD_INV_200004,UTR_HDFC_800004,16212.84,324.26,58.37,0.0,0.0,0.0,0.0,15830.21,2026-03-01 12:00:00,Credit Card,settled
TXN_RZP_100005,ORD_INV_200005,UTR_HDFC_800005,24199.35,483.99,87.12,0.0,0.0,0.0,0.0,23628.24,2026-03-01 12:45:00,UPI,settled
TXN_RZP_100006,ORD_INV_200006,UTR_HDFC_800006,17292.69,345.85,62.25,0.0,0.0,0.0,0.0,16884.59,2026-03-01 13:30:00,Credit Card,settled
TXN_RZP_100007,ORD_INV_200007,UTR_HDFC_800007,37983.34,759.67,136.74,0.0,0.0,0.0,0.0,37086.93,2026-03-01 14:15:00,Credit Card,settled
TXN_RZP_100008,ORD_INV_200008,UTR_HDFC_800008,36295.3,725.91,130.66,0.0,0.0,0.0,0.0,35438.73,2026-03-01 15:00:00,Credit Card,settled
TXN_RZP_100009,ORD_INV_200009,UTR_HDFC_800009,9770.38,195.41,35.17,0.0,0.0,0.0,0.0,9539.8,2026-03-01 15:45:00,Debit Card,settled
TXN_RZP_100010,ORD_INV_200010,UTR_HDFC_800010,29615.34,592.31,106.62,0.0,0.0,0.0,0.0,28916.41,2026-03-01 16:30:00,Debit Card,settled
TXN_RZP_100011,ORD_INV_200011,UTR_HDFC_800011,12176.9,243.54,43.84,0.0,0.0,0.0,0.0,11889.52,2026-03-01 17:15:00,NetBanking,settled
TXN_RZP_100012,ORD_INV_200012,UTR_HDFC_800012,33704.17,674.08,121.33,0.0,0.0,0.0,0.0,32908.76,2026-03-01 18:00:00,Wallet,settled
TXN_RZP_100013,ORD_INV_200013,UTR_HDFC_800013,16513.14,330.26,59.45,0.0,0.0,0.0,0.0,16123.43,2026-03-01 18:45:00,Wallet,settled
TXN_RZP_100014,ORD_INV_200014,UTR_HDFC_800014,4409.11,88.18,15.87,0.0,0.0,0.0,0.0,4305.06,2026-03-01 19:30:00,Wallet,settled
TXN_RZP_100015,ORD_INV_200015,UTR_HDFC_800015,28365.47,567.31,102.12,0.0,0.0,0.0,0.0,27696.04,2026-03-01 20:15:00,UPI,settled
TXN_RZP_100016,ORD_INV_200016,UTR_HDFC_800016,17529.86,350.6,63.11,0.0,0.0,0.0,0.0,17116.15,2026-03-01 21:00:00,Wallet,settled
TXN_RZP_100017,ORD_INV_200017,UTR_HDFC_800017,43708.65,874.17,157.35,0.0,0.0,0.0,0.0,42677.13,2026-03-01 21:45:00,NetBanking,settled
TXN_RZP_100018,ORD_INV_200018,UTR_HDFC_800018,34667.93,693.36,124.8,0.0,0.0,0.0,0.0,33849.77,2026-03-01 22:30:00,UPI,settled
TXN_RZP_100019,ORD_INV_200019,UTR_HDFC_800019,19762.27,395.25,71.15,0.0,0.0,0.0,0.0,19295.87,2026-03-01 23:15:00,UPI,settled
TXN_RZP_100020,ORD_INV_200020,UTR_HDFC_800020,43744.8,874.9,157.48,0.0,0.0,0.0,0.0,42712.42,2026-03-02 00:00:00,UPI,settled
TXN_RZP_100021,ORD_INV_200021,UTR_HDFC_800021,39218.65,784.37,141.19,0.0,0.0,0.0,0.0,38293.09,2026-03-02 00:45:00,Wallet,settled
TXN_RZP_100022,ORD_INV_200022,UTR_HDFC_800020,7174.27,143.49,25.83,0.0,0.0,0.0,0.0,7004.95,2026-03-02 01:30:00,Wallet,settled
TXN_RZP_100023,ORD_INV_200023,UTR_HDFC_800023,27092.88,541.86,97.53,0.0,0.0,0.0,0.0,26453.49,2026-03-02 02:15:00,Wallet,settled
TXN_RZP_100024,ORD_INV_200024,UTR_HDFC_800024,41834.25,836.69,150.6,0.0,0.0,0.0,0.0,40846.96,2026-03-02 03:00:00,UPI,settled
TXN_RZP_100025,ORD_INV_200025,UTR_HDFC_800025,11104.92,222.1,39.98,0.0,0.0,0.0,0.0,10842.84,2026-03-02 03:45:00,Credit Card,settled
TXN_RZP_100026,ORD_INV_200026,UTR_HDFC_800026,33029.67,660.59,118.91,0.0,0.0,0.0,0.0,32250.17,2026-03-02 04:30:00,UPI,settled
TXN_RZP_100027,ORD_INV_200027,UTR_HDFC_800027,6082.68,121.65,21.9,0.0,0.0,0.0,0.0,5939.13,2026-03-02 05:15:00,Wallet,settled
TXN_RZP_100028,ORD_INV_200028,UTR_HDFC_800028,12184.78,243.7,43.87,0.0,0.0,0.0,0.0,11897.21,2026-03-02 06:00:00,Wallet,settled
TXN_RZP_100029,ORD_INV_200029,UTR_HDFC_800029,41825.99,836.52,150.57,0.0,0.0,0.0,0.0,40838.9,2026-03-02 06:45:00,NetBanking,settled
TXN_RZP_100030,ORD_INV_200030,UTR_HDFC_800030,44783.42,895.67,161.22,0.0,0.0,0.0,0.0,43726.53,2026-03-02 07:30:00,Debit Card,settled
